,to1820,to1840,to1860,to1880,to1900,to1920,to1940,to1960,to1980,to2000,to2016,after2016,
Aralia hispida,0,0,0,0,0,0,19,2,2,0,2,0,
Aralia nudicaulis,0,0,0,1,0,3,37,5,3,1,1,0,
Arisaema triphyllum,0,0,0,0,1,8,31,8,2,1,3,0,
Asclepias syriaca,0,0,0,0,0,0,1,0,1,0,1,0,
Aureolaria flava,0,0,0,0,0,1,2,0,1,0,0,0,
Aureolaria pedicularia,0,0,0,0,0,1,2,0,0,1,3,0,
Bidens cernua,0,0,0,0,0,0,0,1,0,1,0,0,
Bidens frondosa,0,0,0,0,0,1,2,0,0,0,1,0,
Bidens laevis,0,0,0,0,0,0,1,0,0,0,0,0,
Brasenia schreberi,0,0,0,0,0,0,0,0,0,1,6,0,
Caltha palustris,0,0,0,0,1,0,0,1,0,0,2,0,
Campanula aparinoides,0,0,0,0,1,2,1,0,1,0,0,0,
Campanula rotundifolia,0,0,0,0,0,3,0,0,0,0,0,0,
Cardamine bulbosa,0,0,0,0,0,1,0,0,0,0,0,0,
Cardamine pratensis,0,0,0,0,0,2,1,0,1,0,0,0,
Catalpa bignonioides,0,0,0,0,0,0,0,0,1,1,0,0,
Cephalanthus occidentalis,0,0,0,0,0,2,1,1,1,0,0,0,
Chamaecrista fasciculata,0,0,0,0,0,0,2,0,1,3,1,0,
Chamaedaphne calyculata,0,0,0,1,2,4,23,5,2,1,3,0,
Chelone glabra,0,0,0,0,1,0,0,0,1,0,1,0,
Chimaphila umbellata,0,0,0,1,0,0,28,7,3,2,1,0,
Cicuta bulbifera,0,0,0,0,0,3,1,0,0,3,0,0,
Cicuta maculata,0,0,0,0,0,1,0,0,1,0,1,0,
Claytonia virginica,0,0,0,0,0,2,1,0,0,0,0,0,
Comandra umbellata,0,0,0,0,0,1,3,1,2,1,1,0,
Coptis trifolia,0,0,0,0,0,0,0,0,1,0,2,0,
Cornus alternifolia,0,0,0,2,0,3,11,9,2,0,3,0,
Cornus florida,0,0,0,1,1,2,13,12,0,0,1,0,
Cornus rugosa,0,0,0,0,0,1,1,0,1,0,0,0,
Cuscuta gronovii,0,0,0,2,2,2,15,26,0,0,1,0,
Decodon verticillatus,0,0,0,0,1,2,5,9,2,6,2,0,
Desmodium marilandicum,0,0,0,0,0,0,3,1,3,1,1,0,
Desmodium nudiflorum,0,0,0,0,0,0,1,1,0,1,0,0,
Diervilla lonicera,0,0,0,0,0,1,2,0,2,0,1,0,
Drosera intermedia,0,0,0,0,0,0,6,8,3,5,2,0,
Drosera rotundifolia,0,0,0,0,2,4,27,23,4,0,2,0,
Echinocystis lobata,0,0,0,0,0,1,1,0,2,0,4,0,
Epilobium coloratum,0,0,0,0,0,1,3,0,0,0,0,0,
Erechtites hieraciifolia,0,0,0,0,0,0,3,0,2,0,1,0,
Erigeron annuus,0,0,0,0,0,1,1,1,1,1,2,0,
Erigeron philadelphicus,0,0,0,0,0,1,0,0,0,0,0,0,
Erigeron pulchellus,0,0,0,0,0,2,4,0,0,0,0,0,
Euthamia graminifolia,0,0,0,0,0,0,1,0,0,0,0,0,
Galium asprellum,0,0,0,0,0,0,0,0,1,0,0,0,
Galium circaezans,0,0,0,0,0,3,1,0,1,1,1,0,
Gaultheria procumbens,0,0,0,1,0,3,39,21,5,0,2,0,
Geranium maculatum,0,0,0,0,1,5,2,0,3,0,1,0,
Gratiola aurea,0,0,0,1,4,8,5,2,0,5,0,0,
Hibiscus moscheutos,0,0,0,1,0,0,2,0,0,0,1,0,
Hieracium paniculatum,0,0,0,0,0,0,0,0,0,1,1,0,
Hieracium venosum,0,0,0,0,0,0,0,0,0,1,0,0,
Houstonia caerulea,0,0,0,0,1,8,1,0,1,0,0,0,
Hypericum ellipticum,0,0,0,0,0,0,3,1,1,4,0,0,
Hypericum gentianoides,0,0,0,0,0,2,3,1,3,2,4,0,
Hypericum punctatum,0,0,0,0,0,2,3,1,1,0,0,0,
Hypoxis hirsuta,0,0,0,0,0,4,1,0,0,2,2,0,
Ilex verticillata,0,0,0,0,3,7,12,4,6,1,3,0,
Impatiens capensis,0,0,0,0,0,0,0,0,4,3,1,0,
Iris prismatica,0,0,0,0,0,5,9,0,3,0,0,0,
Iris versicolor,0,0,0,2,0,2,0,0,4,0,1,0,
Kalmia latifolia,0,0,0,0,3,2,32,17,3,0,2,0,
Krigia virginica,0,0,0,0,0,0,0,0,0,0,1,0,
Lactuca biennis,0,0,0,0,0,0,0,0,1,0,0,0,
Lepidium virginicum,0,0,0,0,0,3,18,12,2,0,3,0,
Lespedeza frutescens,0,0,0,0,0,0,1,1,0,0,0,0,
Lespedeza virginica,0,0,0,0,0,0,0,1,3,3,0,0,
Lilium philadelphicum,0,0,0,1,1,3,22,13,1,1,0,0,
Lindera benzoin,0,0,0,0,2,0,0,0,0,0,3,0,
Lobelia inflata,0,0,0,0,0,2,2,0,1,2,2,0,
Ludwigia alternifolia,0,0,0,0,1,0,0,3,0,1,0,0,
Lupinus perennis,0,0,0,0,0,5,7,1,1,0,1,0,
Lycopus virginicus,0,0,0,0,1,2,0,0,1,1,2,0,
Lysimachia hybrida,0,0,0,0,0,0,2,0,0,1,1,0,
Lysimachia quadrifolia,0,0,0,1,2,7,5,0,3,1,4,0,
Lysimachia thyrsiflora,0,0,0,1,1,8,0,0,0,0,0,0,
Maianthemum racemosum,0,0,0,0,0,1,0,0,0,0,1,0,
Melampyrum lineare,0,0,0,1,0,8,16,6,5,2,4,0,
Mimulus ringens,0,0,0,0,0,2,0,0,1,1,0,0,
Mitchella repens,0,0,0,0,0,3,2,0,3,0,2,0,
Moehringia lateriflora,0,0,0,2,0,3,3,2,1,0,2,0,
Mollugo verticillata,0,0,0,0,0,1,4,0,3,0,1,0,
Monotropa hypopithys,0,0,0,0,0,2,8,0,0,1,2,0,
Monotropa uniflora,0,0,0,1,0,1,28,7,1,0,2,0,
Myosotis laxa,0,0,0,0,1,1,2,0,1,0,0,0,
Myrica gale,0,0,0,0,2,0,0,0,0,1,0,0,
Oenothera biennis,0,0,0,0,1,1,3,7,2,0,1,0,
Oxalis stricta,0,0,0,0,0,0,1,0,0,0,0,0,
Packera aurea,0,0,0,0,0,0,0,0,0,0,1,0,
Parthenocissus quinquefolia,0,0,0,0,0,2,1,0,3,0,1,0,
Penthorum sedoides,0,0,0,0,0,1,3,0,2,1,1,0,
Polygala paucifolia,0,0,0,0,0,8,1,1,1,0,1,0,
Polygonum arifolium,0,0,0,0,0,0,0,1,0,0,0,0,
Polygonum hydropiperoides,0,0,0,0,0,1,0,0,1,0,0,0,
Polygonum lapathifolium,0,0,0,0,0,0,0,0,0,0,1,0,
Polygonum pensylvanicum,0,0,0,0,0,3,4,0,1,0,0,0,
Polygonum sagittatum,0,0,0,0,0,1,0,0,0,0,0,0,
Potentilla norvegica,0,0,0,1,1,0,32,13,2,0,0,0,
Prunella vulgaris,0,0,0,0,0,1,12,5,0,1,2,0,
Prunus pensylvanica,0,0,0,0,1,5,2,0,2,2,2,0,
Pyrola chlorantha,0,0,0,0,0,0,0,1,0,0,0,0,
Pyrola elliptica,0,0,0,0,0,2,3,0,1,1,2,0,
Ranunculus abortivus,0,0,0,1,1,0,0,0,0,0,0,0,
Rhexia virginica,0,0,0,0,0,7,4,1,3,4,0,0,
Rhododendron viscosum,0,0,0,0,0,6,13,16,11,2,4,0,
Rhus copallinum,0,0,0,0,0,0,0,0,0,0,1,0,
Rhus glabra,0,0,0,0,0,1,0,0,1,1,1,0,
Robinia pseudoacacia,0,0,0,0,0,2,0,0,0,0,2,0,
Rorippa islandica,0,0,0,0,0,1,0,0,1,0,0,0,
Rosa nitida,0,0,0,0,1,4,0,1,0,0,0,0,
Sagittaria latifolia,0,0,0,0,0,0,31,26,0,0,0,0,
Sambucus nigra,0,0,0,0,0,0,0,0,0,0,1,0,
Sanicula marilandica,0,0,0,0,1,5,2,0,1,0,0,0,
Sarracenia purpurea,0,0,0,0,2,2,2,1,1,0,0,0,
Saxifraga virginiensis,0,0,0,0,0,0,1,0,0,0,0,0,
Scutellaria galericulata,0,0,0,0,0,1,0,0,1,0,0,0,
Scutellaria lateriflora,0,0,0,0,1,2,1,1,1,0,1,0,
Sicyos angulatus,0,0,0,0,0,2,1,1,2,0,4,0,
Sisyrinchium angustifolium,0,0,0,0,0,4,3,1,1,0,0,0,
Sisyrinchium atlanticum,0,0,0,0,0,7,9,2,0,0,2,0,
Sium suave,0,0,0,0,1,4,4,0,3,3,1,0,
Smilax herbacea,0,0,0,0,0,2,0,1,2,0,0,0,
Smilax rotundifolia,0,0,0,2,0,4,0,0,1,1,1,0,
Solidago bicolor,0,0,0,0,0,0,1,1,1,1,2,0,
Solidago gigantea,0,0,0,0,2,0,1,0,1,0,1,0,
Solidago juncea,0,0,0,0,0,0,0,2,0,0,1,0,
Solidago nemoralis,0,0,0,0,1,3,4,0,3,3,0,0,
Solidago odora,0,0,0,0,0,0,0,0,2,2,1,0,
Solidago rugosa,0,0,0,0,0,0,0,2,0,1,3,0,
Spiraea alba,0,0,0,0,0,0,0,0,0,2,0,0,
Spiraea tomentosa,0,0,0,0,0,1,7,0,5,1,0,0,
Symphyotrichum cordifolium,0,0,0,0,0,0,0,0,0,0,1,0,
Symphyotrichum puniceum,0,0,0,0,0,0,0,0,0,0,1,0,
Symplocarpus foetidus,0,0,0,0,2,1,4,1,6,0,1,0,
Thalictrum pubescens,0,0,0,0,0,0,0,0,0,0,1,0,
Toxicodendron radicans,0,0,0,0,0,0,0,2,2,0,0,0,
Toxicodendron vernix,0,0,0,0,0,0,1,0,1,0,0,0,
Trichostema dichotomum,0,0,0,0,3,1,1,2,2,0,4,0,
Trientalis borealis,0,0,0,0,0,1,0,0,1,0,2,0,
Trillium cernuum,0,0,0,1,4,2,3,1,0,0,0,0,
Triodanis perfoliata,0,0,0,0,0,1,0,0,0,0,1,0,
Uvularia sessilifolia,0,0,0,0,2,2,0,0,2,1,3,0,
Vaccinium angustifolium,0,0,0,0,0,1,0,2,5,1,5,0,
Vaccinium corymbosum,0,0,0,1,2,11,44,21,4,4,7,0,
Vaccinium oxycoccos,0,0,0,1,0,3,1,0,0,0,1,0,
Vaccinium pallidum,0,0,0,0,0,0,1,0,0,2,4,0,
Vernonia noveboracensis,0,0,0,0,0,1,1,0,1,1,0,0,
Veronica scutellata,0,0,0,0,0,2,3,0,1,0,0,0,
Viburnum acerifolium,0,0,0,0,0,6,3,1,3,0,2,0,
Viburnum lentago,0,0,0,0,1,3,1,0,1,0,0,0,
Viburnum nudum,0,0,0,0,0,0,0,0,0,0,1,0,
Viburnum recognitum,0,0,0,0,0,2,2,2,1,1,1,0,
Viola lanceolata,0,0,0,0,2,4,1,9,5,3,0,0,
Viola pedata,0,0,0,0,0,2,2,2,2,0,3,0,
Viola pubescens,0,0,0,0,0,1,2,2,0,2,1,0,
Viola sagittata,0,0,0,0,0,1,0,1,0,0,1,0,
Vitis aestivalis,0,0,0,0,0,6,2,6,5,0,0,0,
