date,julian,tree.id,species,circuit,bcon,bbrk,fbud,fopn,fpst,sex,length,width,lfin,l75,l95,tip,comments
4/9/91,99,ACPE-01,ACPE,19,VS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/12/91,102,ACPE-01,ACPE,19,VS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/16/91,106,ACPE-01,ACPE,19,VS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/19/91,109,ACPE-01,ACPE,22,MS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/22/91,112,ACPE-01,ACPE,22,VS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/26/91,116,ACPE-01,ACPE,22,VS,0,NA,0,0,NA,0,0,0,0,0,0,NA
5/2/91,122,ACPE-01,ACPE,22,BB,100,MS,0,0,NA,6,5,0,0,0,0,NA
5/7/91,127,ACPE-01,ACPE,22,BB,100,BB,0,0,NA,7,6,0,0,0,0,NA
5/10/91,130,ACPE-01,ACPE,22,BB,100,BB,99,0,NA,12,0,50,0,0,0,NA
5/13/91,133,ACPE-01,ACPE,22,BB,100,BB,100,0,NA,12,10,55,0,0,0,NA
5/17/91,137,ACPE-01,ACPE,22,BB,100,BB,100,50,NA,15,12,75,0,0,0,NA
5/20/91,140,ACPE-01,ACPE,22,BB,100,BB,NA,NA,NA,16,13,80,0,0,0,NA
5/23/91,143,ACPE-01,ACPE,22,BB,100,BB,NA,NA,NA,14,15,80,0,0,0,NA
5/28/91,148,ACPE-01,ACPE,22,BB,100,BB,100,100,NA,18,16,NA,NA,0,0,NA
5/31/91,151,ACPE-01,ACPE,23,BB,100,NA,NA,100,NA,20,16,90,80,90,0,NA
6/4/91,155,ACPE-01,ACPE,23,BB,100,NA,NA,100,NA,19,17,97,80,97,0,NA
6/10/91,161,ACPE-01,ACPE,23,BB,100,NA,NA,100,NA,16,15,97,80,97,0,NA
6/14/91,165,ACPE-01,ACPE,23,BB,100,NA,NA,100,NA,16,15,100,80,100,0,NA
6/20/91,171,ACPE-01,ACPE,23,BB,100,NA,NA,100,NA,16,15,100,80,100,0,NA
6/28/91,179,ACPE-01,ACPE,22,BB,100,NA,NA,100,NA,17,15,100,80,100,0,NA
7/4/91,185,ACPE-01,ACPE,23,BB,100,NA,NA,100,NA,17,16,100,80,100,0,NA
7/11/91,192,ACPE-01,ACPE,23,BB,100,NA,NA,100,NA,17,15,100,80,100,0,NA
4/1/92,92,ACPE-01,ACPE,23,MS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/7/92,98,ACPE-01,ACPE,23,MS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/13/92,104,ACPE-01,ACPE,23,MS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/20/92,111,ACPE-01,ACPE,23,MS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/23/92,114,ACPE-01,ACPE,23,MS,0,NA,0,0,NA,1,0,0,0,0,0,NA
4/27/92,118,ACPE-01,ACPE,23,MS,0,NA,0,0,NA,0,0,0,0,0,0,NA
5/1/92,122,ACPE-01,ACPE,23,VS,0,NA,0,0,NA,0,0,0,0,0,0,NA
5/4/92,125,ACPE-01,ACPE,23,VS,0,NA,0,0,NA,0,0,0,0,0,0,NA
5/8/92,129,ACPE-01,ACPE,23,VS,0,NA,0,0,NA,0,0,0,0,0,0,NA
5/11/92,132,ACPE-01,ACPE,23,VS,0,NA,0,0,NA,0,0,0,0,0,0,NA
5/14/92,135,ACPE-01,ACPE,23,BB,100,BB,0,0,NA,3,4,0,0,0,0,NA
5/19/92,140,ACPE-01,ACPE,23,BB,100,BB,100,0,NA,9,10,55,0,0,0,NA
5/21/92,142,ACPE-01,ACPE,23,BB,100,BB,100,0,NA,9,10,NA,0,0,0,NA
5/26/92,147,ACPE-01,ACPE,23,BB,100,BB,100,0,NA,13,14,NA,0,0,0,NA
5/29/92,150,ACPE-01,ACPE,23,BB,100,BB,100,0,NA,13,14,55,25,0,0,NA
6/2/92,154,ACPE-01,ACPE,23,BB,100,BB,100,0,NA,14,17,50,50,0,0,NA
6/5/92,157,ACPE-01,ACPE,23,BB,100,BB,100,100,NA,15,17,50,50,0,0,NA
6/10/92,162,ACPE-01,ACPE,23,BB,100,BB,100,100,NA,15,18,70,70,0,0,NA
6/16/92,168,ACPE-01,ACPE,23,BB,100,NA,NA,100,NA,14,18,80,80,55,0,NA
6/23/92,175,ACPE-01,ACPE,23,BB,100,NA,NA,100,NA,16,17,80,80,50,0,NA
7/6/92,188,ACPE-01,ACPE,23,BB,100,NA,NA,100,NA,15,18,80,80,80,0,NA
7/16/92,198,ACPE-01,ACPE,23,BB,100,NA,NA,100,NA,15,16,97,80,97,0,NA
3/26/93,85,ACPE-01,ACPE,22,NS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/8/93,98,ACPE-01,ACPE,22,SS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/17/93,107,ACPE-01,ACPE,22,VS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/20/93,110,ACPE-01,ACPE,22,BB,0,NA,0,0,NA,2,0,0,0,0,0,NA
4/24/93,114,ACPE-01,ACPE,22,NS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/28/93,118,ACPE-01,ACPE,22,BB,100,NA,0,0,NA,4,0,0,0,0,0,NA
5/1/93,121,ACPE-01,ACPE,22,BB,100,NA,0,0,NA,4,0,0,0,0,0,NA
5/4/93,124,ACPE-01,ACPE,22,BB,99,NA,0,0,NA,6,0,0,0,0,0,NA
5/8/93,128,ACPE-01,ACPE,22,BB,99,NA,0,0,NA,7,9,0,0,0,0,NA
5/12/93,132,ACPE-01,ACPE,22,BB,100,BB,100,0,NA,13,10,66,0,0,0,NA
5/16/93,136,ACPE-01,ACPE,22,BB,100,BB,100,0,NA,14,14,75,0,0,0,NA
5/19/93,139,ACPE-01,ACPE,22,BB,100,BB,100,0,NA,17,15,75,0,0,0,NA
5/24/93,144,ACPE-01,ACPE,22,BB,100,BB,100,0,NA,19,15,80,80,92,0,NA
5/27/93,147,ACPE-01,ACPE,22,BB,100,NA,0,0,NA,17,14,100,80,100,0,NA
6/2/93,153,ACPE-01,ACPE,22,BB,100,NA,0,0,NA,19,17,100,80,100,0,NA
6/7/93,158,ACPE-01,ACPE,22,BB,100,NA,0,0,NA,14,17,100,80,100,0,NA
6/11/93,162,ACPE-01,ACPE,22,BB,100,NA,0,0,NA,20,18,100,80,100,0,NA
6/14/93,165,ACPE-01,ACPE,22,BB,100,NA,0,0,NA,20,17,100,80,100,0,NA
6/18/93,169,ACPE-01,ACPE,22,BB,100,NA,0,0,NA,19,17,100,80,100,0,NA
6/25/93,176,ACPE-01,ACPE,22,BB,100,NA,0,0,NA,19,17,100,80,100,0,NA
7/1/93,182,ACPE-01,ACPE,22,BB,100,NA,0,0,NA,17,20,100,80,100,0,NA
7/9/93,190,ACPE-01,ACPE,22,BB,100,NA,0,0,NA,20,17,100,80,100,0,NA
8/11/93,223,ACPE-01,ACPE,22,BB,100,NA,0,0,NA,20,17,100,80,100,0,NA
3/31/94,90,ACPE-01,ACPE,21,MS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/5/94,95,ACPE-01,ACPE,21,MS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/11/94,101,ACPE-01,ACPE,21,MS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/15/94,105,ACPE-01,ACPE,21,MS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/22/94,112,ACPE-01,ACPE,21,MS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/28/94,118,ACPE-01,ACPE,21,VS,0,NA,0,0,NA,0,0,0,0,0,0,NA
5/4/94,124,ACPE-01,ACPE,21,BB,92,NA,0,0,NA,0,0,0,0,0,0,NA
5/10/94,130,ACPE-01,ACPE,21,BB,100,VS,0,0,NA,7,6,15,0,0,0,NA
5/19/94,139,ACPE-01,ACPE,21,BB,100,BB,100,0,NA,12,10,0,0,0,0,NA
5/23/94,143,ACPE-01,ACPE,21,BB,100,BB,100,0,NA,15,14,75,38,0,0,NA
5/27/94,147,ACPE-01,ACPE,21,BB,100,BB,100,0,NA,16,14,75,71,0,0,NA
5/31/94,151,ACPE-01,ACPE,21,BB,100,BB,100,50,NA,16,15,80,80,50,0,NA
6/8/94,159,ACPE-01,ACPE,21,BB,100,BB,100,100,NA,16,15,100,80,100,0,NA
6/14/94,165,ACPE-01,ACPE,21,BB,100,BB,100,100,NA,16,15,100,80,100,0,NA
6/22/94,173,ACPE-01,ACPE,21,BB,100,NA,NA,100,NA,16,15,100,80,100,0,NA
6/28/94,179,ACPE-01,ACPE,21,BB,100,NA,NA,100,NA,16,15,100,80,100,0,NA
7/7/94,188,ACPE-01,ACPE,21,BB,100,NA,NA,100,NA,16,15,100,80,100,0,NA
7/25/94,206,ACPE-01,ACPE,21,BB,100,NA,NA,100,NA,16,15,100,80,100,0,NA
8/15/94,227,ACPE-01,ACPE,21,BB,100,NA,NA,100,NA,16,15,100,80,100,0,NA
3/28/95,87,ACPE-01,ACPE,21,MS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/3/95,93,ACPE-01,ACPE,22,MS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/11/95,101,ACPE-01,ACPE,22,MS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/16/95,106,ACPE-01,ACPE,22,VS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/20/95,110,ACPE-01,ACPE,22,VS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/27/95,117,ACPE-01,ACPE,22,VS,0,NA,0,0,NA,0,0,0,0,0,0,NA
5/3/95,123,ACPE-01,ACPE,22,VS,0,NA,0,0,NA,0,0,0,0,0,0,NA
5/8/95,128,ACPE-01,ACPE,22,BB,95,NA,0,0,NA,5,0,0,0,0,0,NA
5/12/95,132,ACPE-01,ACPE,22,BB,100,VS,0,0,NA,7,5,0,0,0,0,NA
5/16/95,136,ACPE-01,ACPE,22,BB,100,BB,25,0,NA,10,8,0,0,0,0,NA
5/22/95,142,ACPE-01,ACPE,22,BB,100,BB,100,0,NA,14,12,55,0,0,0,NA
5/26/95,146,ACPE-01,ACPE,22,BB,100,BB,100,10,NA,16,15,80,80,75,0,NA
6/1/95,152,ACPE-01,ACPE,22,BB,100,BB,100,45,NA,20,18,80,80,80,0,NA
6/6/95,157,ACPE-01,ACPE,22,BB,100,BB,100,NA,NA,18,16,95,80,95,0,NA
6/13/95,164,ACPE-01,ACPE,22,BB,100,BB,100,100,NA,18,16,100,80,100,0,NA
6/19/95,170,ACPE-01,ACPE,22,BB,100,NA,NA,100,NA,18,16,100,80,100,0,NA
6/22/95,173,ACPE-01,ACPE,22,BB,100,NA,NA,100,NA,18,16,100,80,100,0,NA
6/29/95,180,ACPE-01,ACPE,22,BB,100,NA,NA,100,NA,18,16,100,80,100,0,NA
7/7/95,188,ACPE-01,ACPE,22,BB,100,NA,NA,100,NA,18,16,100,80,100,0,NA
7/13/95,194,ACPE-01,ACPE,22,BB,100,NA,NA,100,NA,18,16,100,80,100,0,NA
8/11/95,223,ACPE-01,ACPE,22,BB,100,NA,NA,100,NA,18,16,100,80,100,0,NA
3/27/96,87,ACPE-01,ACPE,22,MS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/1/96,92,ACPE-01,ACPE,22,MS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/9/96,100,ACPE-01,ACPE,22,VS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/13/96,104,ACPE-01,ACPE,22,VS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/18/96,109,ACPE-01,ACPE,22,VS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/22/96,113,ACPE-01,ACPE,22,VS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/25/96,116,ACPE-01,ACPE,22,VS,0,NA,0,0,NA,0,0,0,0,0,0,NA
5/1/96,122,ACPE-01,ACPE,22,VS,0,NA,0,0,NA,0,0,0,0,0,0,NA
5/7/96,128,ACPE-01,ACPE,22,BB,98,NA,0,0,NA,0,0,0,0,0,0,NA
5/14/96,135,ACPE-01,ACPE,22,BB,100,NA,0,0,NA,6,5,13,0,0,0,NA
5/17/96,138,ACPE-01,ACPE,22,BB,100,BB,0,0,NA,9,0,28,0,0,0,NA
5/22/96,143,ACPE-01,ACPE,22,BB,100,BB,100,55,NA,14,11,50,0,0,0,NA
5/28/96,149,ACPE-01,ACPE,22,BB,100,BB,100,10,NA,17,16,75,75,60,0,NA
6/2/96,154,ACPE-01,ACPE,22,BB,100,BB,100,25,NA,18,15,80,80,70,0,NA
6/7/96,159,ACPE-01,ACPE,22,BB,100,BB,100,97,NA,16,14,80,80,92,0,NA
6/13/96,165,ACPE-01,ACPE,22,BB,100,BB,100,97,NA,20,17,95,80,95,0,NA
6/18/96,170,ACPE-01,ACPE,22,BB,100,BB,100,100,NA,18,16,97,80,97,0,NA
6/21/96,173,ACPE-01,ACPE,22,BB,100,NA,NA,100,NA,18,16,100,80,100,0,NA
6/28/96,180,ACPE-01,ACPE,22,BB,100,NA,NA,100,NA,18,16,100,80,100,0,NA
7/5/96,187,ACPE-01,ACPE,22,BB,100,NA,NA,100,NA,18,16,100,80,100,0,NA
7/11/96,193,ACPE-01,ACPE,22,BB,100,NA,NA,100,NA,18,16,100,80,100,0,NA
3/25/97,84,ACPE-01,ACPE,22,NS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/3/97,93,ACPE-01,ACPE,22,MS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/8/97,98,ACPE-01,ACPE,22,VS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/15/97,105,ACPE-01,ACPE,22,VS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/21/97,111,ACPE-01,ACPE,22,VS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/25/97,115,ACPE-01,ACPE,22,VS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/30/97,120,ACPE-01,ACPE,22,VS,0,NA,0,0,NA,0,0,0,0,0,0,NA
5/5/97,125,ACPE-01,ACPE,22,BB,8,NA,0,0,NA,0,0,0,0,0,0,NA
5/9/97,129,ACPE-01,ACPE,22,BB,55,NA,0,0,NA,0,0,0,0,0,0,NA
5/12/97,132,ACPE-01,ACPE,22,BB,98,NA,0,0,NA,0,0,0,0,0,0,NA
5/16/97,136,ACPE-01,ACPE,22,BB,100,VS,0,0,NA,8,6,20,0,0,0,NA
5/21/97,141,ACPE-01,ACPE,22,BB,100,BB,55,0,NA,10,9,30,0,0,0,NA
5/27/97,147,ACPE-01,ACPE,22,BB,100,BB,100,0,NA,15,12,75,20,0,0,NA
6/3/97,154,ACPE-01,ACPE,22,BB,100,BB,100,90,NA,17,15,80,80,75,0,NA
6/9/97,160,ACPE-01,ACPE,22,BB,100,BB,100,25,NA,18,16,80,80,80,0,NA
6/16/97,167,ACPE-01,ACPE,22,BB,100,BB,100,100,NA,20,18,95,80,95,0,NA
6/23/97,174,ACPE-01,ACPE,22,BB,100,BB,100,100,NA,18,16,97,80,97,0,NA
7/1/97,182,ACPE-01,ACPE,22,BB,100,NA,NA,100,NA,20,18,100,80,100,0,NA
7/8/97,189,ACPE-01,ACPE,22,BB,100,NA,NA,100,NA,20,18,100,80,100,0,NA
7/22/97,203,ACPE-01,ACPE,22,BB,100,NA,NA,100,NA,20,18,100,80,100,0,NA
3/25/98,84,ACPE-01,ACPE,22,MS,0,NA,0,0,NA,0,0,0,0,0,0,NA
3/30/98,89,ACPE-01,ACPE,22,VS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/7/98,97,ACPE-01,ACPE,22,VS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/13/98,103,ACPE-01,ACPE,22,VS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/18/98,108,ACPE-01,ACPE,22,VS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/24/98,114,ACPE-01,ACPE,22,BB,95,NA,0,0,NA,0,0,0,0,0,0,NA
4/29/98,119,ACPE-01,ACPE,22,BB,99,NA,0,0,NA,0,0,0,0,0,0,NA
5/4/98,124,ACPE-01,ACPE,22,BB,100,BB,30,0,NA,11,9,30,0,0,0,NA
5/8/98,128,ACPE-01,ACPE,22,BB,100,BB,100,0,NA,15,13,60,15,0,0,NA
5/14/98,134,ACPE-01,ACPE,22,BB,100,BB,100,100,NA,16,14,70,60,0,0,NA
5/19/98,139,ACPE-01,ACPE,22,BB,100,BB,100,100,NA,16,14,80,80,20,0,NA
5/22/98,142,ACPE-01,ACPE,22,BB,100,BB,100,NA,NA,20,16,80,80,55,0,NA
5/27/98,147,ACPE-01,ACPE,22,BB,100,BB,100,90,NA,20,18,80,80,70,0,NA
6/2/98,153,ACPE-01,ACPE,22,BB,100,BB,100,99,NA,20,17,80,80,95,0,NA
6/9/98,160,ACPE-01,ACPE,22,BB,100,BB,100,100,NA,20,18,80,80,97,0,NA
6/15/98,166,ACPE-01,ACPE,22,BB,100,NA,NA,100,NA,20,18,97,80,97,0,NA
6/19/98,170,ACPE-01,ACPE,22,BB,100,NA,NA,100,NA,20,18,97,80,97,0,NA
6/23/98,174,ACPE-01,ACPE,22,BB,100,NA,NA,100,NA,20,18,97,80,97,0,NA
7/2/98,183,ACPE-01,ACPE,22,BB,100,NA,NA,100,NA,20,18,97,80,97,0,NA
7/14/98,195,ACPE-01,ACPE,22,BB,100,NA,NA,100,NA,20,18,100,80,100,0,NA
3/27/99,86,ACPE-01,ACPE,23,SS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/2/99,92,ACPE-01,ACPE,23,MS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/8/99,98,ACPE-01,ACPE,23,VS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/12/99,102,ACPE-01,ACPE,23,VS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/15/99,105,ACPE-01,ACPE,23,VS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/21/99,111,ACPE-01,ACPE,23,VS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/26/99,116,ACPE-01,ACPE,23,VS,0,NA,0,0,NA,0,0,0,0,0,0,NA
5/3/99,123,ACPE-01,ACPE,23,BB,80,NA,0,0,NA,0,0,0,0,0,0,NA
5/7/99,127,ACPE-01,ACPE,23,BB,100,NA,0,0,NA,8,7,15,0,0,0,NA
5/11/99,131,ACPE-01,ACPE,23,BB,100,NA,0,0,NA,12,10,40,0,0,0,NA
5/14/99,134,ACPE-01,ACPE,23,BB,100,NA,0,0,NA,14,12,55,0,0,0,NA
5/21/99,141,ACPE-01,ACPE,23,BB,100,NA,0,0,NA,15,13,80,80,20,0,NA
5/27/99,147,ACPE-01,ACPE,23,BB,100,NA,0,0,NA,20,17,80,80,50,0,NA
6/3/99,154,ACPE-01,ACPE,23,BB,100,NA,0,0,NA,20,17,80,80,75,0,NA
6/10/99,161,ACPE-01,ACPE,23,BB,100,NA,0,0,NA,20,18,97,80,97,0,NA
6/15/99,166,ACPE-01,ACPE,23,BB,100,NA,0,0,NA,18,16,85,80,85,0,NA
6/22/99,173,ACPE-01,ACPE,23,BB,100,NA,0,0,NA,21,20,97,80,97,0,NA
6/30/99,181,ACPE-01,ACPE,23,BB,100,NA,0,0,NA,21,20,97,80,97,0,NA
7/8/99,189,ACPE-01,ACPE,23,BB,100,NA,0,0,NA,21,20,100,80,100,0,NA
3/27/00,87,ACPE-01,ACPE,23,VS,0,NA,0,0,NA,0,0,0,0,0,0,NA
3/31/00,91,ACPE-01,ACPE,23,VS,0,0,0,0,NA,0,0,0,0,0,0,NA
4/4/00,95,ACPE-01,ACPE,23,VS,0,0,0,0,NA,0,0,0,0,0,0,NA
4/13/00,104,ACPE-01,ACPE,23,VS,0,0,0,0,NA,0,0,0,0,0,0,NA
4/18/00,109,ACPE-01,ACPE,24,VS,0,0,0,0,NA,0,0,0,0,0,0,NA
4/25/00,116,ACPE-01,ACPE,24,VS,0,0,0,0,NA,0,0,0,0,0,0,NA
5/1/00,122,ACPE-01,ACPE,24,VS,0,0,0,0,NA,0,0,0,0,0,0,NA
5/5/00,126,ACPE-01,ACPE,24,BB,75,0,0,0,NA,0,0,0,0,0,0,NA
5/8/00,129,ACPE-01,ACPE,24,BB,100,BB,40,0,NA,9,8,0,0,0,0,NA
5/11/00,132,ACPE-01,ACPE,24,BB,100,BB,100,20,NA,11,11,40,0,0,0,NA
5/15/00,136,ACPE-01,ACPE,24,BB,100,BB,100,50,NA,12,13,60,0,0,0,NA
5/22/00,143,ACPE-01,ACPE,24,BB,100,BB,100,75,NA,16,14,75,75,30,0,NA
5/26/00,147,ACPE-01,ACPE,24,BB,100,BB,100,95,NA,16,17,75,75,30,0,NA
5/30/00,151,ACPE-01,ACPE,24,BB,100,BB,100,100,NA,16,18,80,80,50,0,NA
6/7/00,159,ACPE-01,ACPE,24,BB,100,BB,100,100,NA,18,16,80,80,75,0,NA
6/12/00,164,ACPE-01,ACPE,24,BB,100,BB,100,100,NA,17,17,92,80,90,0,NA
6/16/00,168,ACPE-01,ACPE,24,BB,100,0,0,0,NA,17,18,95,80,95,0,NA
6/21/00,173,ACPE-01,ACPE,24,BB,100,0,0,0,NA,17,19,97,80,97,0,NA
6/27/00,179,ACPE-01,ACPE,24,BB,100,0,0,0,NA,31,19,97,80,97,0,NA
7/3/00,185,ACPE-01,ACPE,24,BB,100,0,0,0,NA,21,19,100,80,100,0,NA
7/10/00,192,ACPE-01,ACPE,24,BB,100,0,0,0,NA,0,0,100,80,100,0,NA
4/4/01,94,ACPE-01,ACPE,24,NS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/11/01,101,ACPE-01,ACPE,24,MS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/19/01,109,ACPE-01,ACPE,24,MS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/22/01,112,ACPE-01,ACPE,24,MS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/28/01,118,ACPE-01,ACPE,24,VS,0,NA,0,0,NA,0,0,0,0,0,0,NA
5/2/01,122,ACPE-01,ACPE,24,BB,30,NA,0,0,NA,0,0,0,0,0,0,NA
5/5/01,125,ACPE-01,ACPE,24,BB,100,NA,0,0,NA,8,8,18,0,0,0,NA
5/10/01,130,ACPE-01,ACPE,24,BB,100,NA,0,0,NA,13,12,43,0,0,0,NA
5/17/01,137,ACPE-01,ACPE,24,BB,100,NA,0,0,NA,16,13,58,40,0,0,NA
5/21/01,141,ACPE-01,ACPE,24,BB,100,NA,0,0,NA,16,15,65,55,20,0,NA
5/25/01,145,ACPE-01,ACPE,24,BB,100,NA,0,0,NA,17,15,75,75,30,F,NA
5/30/01,150,ACPE-01,ACPE,24,BB,100,NA,0,0,NA,16,16,88,80,65,F,NA
6/5/01,156,ACPE-01,ACPE,24,BB,100,NA,0,0,NA,19,17,80,80,60,F,NA
6/13/01,164,ACPE-01,ACPE,24,BB,100,NA,0,0,NA,20,17,85,80,85,F,NA
6/19/01,170,ACPE-01,ACPE,24,BB,100,NA,0,0,NA,21,18,95,80,97,F,NA
6/26/01,177,ACPE-01,ACPE,24,BB,100,NA,0,0,NA,21,18,95,80,97,F,NA
4/3/02,93,ACPE-01,ACPE,20,MS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/8/02,98,ACPE-01,ACPE,20,MS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/12/02,102,ACPE-01,ACPE,20,VS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/16/02,106,ACPE-01,ACPE,20,VS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/19/02,109,ACPE-01,ACPE,20,BB,40,NA,0,0,NA,0,0,0,0,0,0,NA
4/24/02,114,ACPE-01,ACPE,20,BB,100,NA,0,0,NA,6,5,10,0,0,0,NA
4/30/02,120,ACPE-01,ACPE,20,BB,100,NA,0,0,NA,NA,NA,8,0,0,0,NA
5/6/02,126,ACPE-01,ACPE,20,BB,100,NA,0,0,NA,NA,NA,10,0,0,0,NA
5/9/02,129,ACPE-01,ACPE,20,BB,100,BB,75,0,M,NA,NA,25,0,0,0,NA
5/14/02,134,ACPE-01,ACPE,20,BB,100,BB,100,0,M,NA,NA,70,0,0,0,NA
5/19/02,139,ACPE-01,ACPE,20,BB,100,BB,100,NA,M,NA,NA,NA,0,0,0,NA
5/23/02,143,ACPE-01,ACPE,20,BB,100,BB,100,25,M,15,14,63,40,0,0,NA
5/28/02,148,ACPE-01,ACPE,20,BB,100,BB,100,90,M,18,16,68,75,25,S,NA
6/2/02,153,ACPE-01,ACPE,20,BB,100,BB,100,100,M,18,17,80,80,40,S,NA
6/7/02,158,ACPE-01,ACPE,20,BB,100,BB,100,100,M,18,17,83,80,75,S,NA
